HardwareTimestamp,PythonTimestamp,ax,ay,az,gx,gy,gz,mx,my,mz,temp,press,alt,head,sat,lat,lon,gpsAlt
28489,28440.90088,1.249773264,-0.375889659,8.499416351,0.054358348,0.012790199,-0.007460949,-7.874684811,1.541604996,4.04150486,29.79999924,99157,216.1654816,168.9234467,0,0,0,0
28529,28481.37061,1.296460271,-0.433350503,8.614337921,0.073810108,0.011724349,-0.006128637,-7.874684811,1.474941015,4.083169937,29.79999924,99157,216.2501984,169.3913269,0,0,0,0
28569,28521.15967,1.326387763,-0.307654917,8.677783966,0.064483918,0.007460949,-0.009592649,-7.849686146,1.458274961,4.058170795,29.79999924,99157,216.0807648,169.4758606,0,0,0,0
28609,28561.8313,1.394622445,-0.421379507,8.568847656,0.061019909,0.008260337,-0.007194487,-7.799687862,1.499940038,4.14150095,29.79999924,99157,216.1654816,169.1144714,0,0,0,0
28649,28601.36304,1.356315255,-0.36990416,8.717288017,0.068214394,0.000266462,-0.009326187,-7.774689198,1.516605973,4.083169937,29.79999924,99157,216.3348999,168.9619446,0,0,0,0
28689,28641.71558,1.259350061,-0.391451985,8.596381187,0.05249311,0.001332312,-0.010658499,-7.73302412,1.39161098,4.058170795,29.79999924,99157,215.8266449,169.7984161,0,0,0,0
28729,28681.31494,1.44849205,-0.301669419,8.777143478,0.08207044,0.000799387,-0.003464012,-7.774689198,1.416610003,4.04150486,29.79999924,99157,216.1654816,169.6735382,0,0,0,0
28769,28722.53394,1.351526856,-0.359130263,8.566453934,0.049029093,-0.00319755,-0.005595712,-7.891351223,1.433276057,4.016506195,29.79999924,99157,215.9960632,169.7058105,0,0,0,0
28809,28762.17432,1.218648672,-0.44532153,8.694543839,0.06261868,0.009859112,-0.005862175,-7.94134903,1.416610003,4.083169937,29.79999924,99157,216.8426666,169.8857422,0,0,0,0
28849,28801.22192,1.29885447,-0.306457818,8.633491516,0.070346095,-0.011457887,-0.004529862,-7.874684811,1.474941015,4.099835873,29.79999924,99157,216.1654816,169.3913269,0,0,0,0
28889,28841.43018,1.210268974,-0.361524463,8.598775864,0.067947932,0.005329249,-0.0042634,-8.041344643,1.541604996,4.083169937,29.79999924,99157,216.4196167,169.1475067,0,0,0,0
28929,28882.41553,1.261744261,-0.349553436,8.73404789,0.055157732,-0.000532925,-0.004529862,-7.924683094,1.458274961,4.058170795,29.79999924,99157,215.5730438,169.5732574,0,0,0,0
28969,28922.77612,1.18752408,-0.48123455,8.61912632,0.057822358,0.006928025,-0.007194487,-7.891351223,1.458274961,4.016506195,29.79999924,99157,215.6577454,169.5301819,0,0,0,0
29009,28961.07446,1.288080573,-0.380678058,8.647856712,0.074076563,0.009859112,-0.006128637,-7.83302021,1.541604996,4.016506195,29.79999924,99157,215.9113617,168.8659973,0,0,0,0
29049,29002.86279,1.303642869,-0.288501292,8.596381187,0.065816231,0.001332312,-0.007460949,-7.849686146,1.433276057,3.999840021,29.79999924,99157,216.1654816,169.6523438,0,0,0,0
29089,29041.7522,1.254561663,-0.379480958,8.583212852,0.062085759,0.010125575,-0.003464012,-7.849686146,1.374945045,4.04150486,29.79999924,99157,215.9113617,170.0649109,0,0,0,0
29129,29081.51953,1.343147159,-0.339976639,8.670601845,0.064217456,-0.002398162,-0.006128637,-7.799687862,1.474941015,3.999840021,29.79999924,99157,215.5730438,169.2916565,0,0,0,0
29169,29121.35181,1.279700756,-0.427365005,8.583212852,0.063418068,0.006661562,-0.004796324,-7.808021069,1.499940038,4.016506195,29.79999924,99157,215.7424622,169.1258087,0,0,0,0
29209,29161.86719,1.261744261,-0.343567938,8.712499619,0.071145482,-0.0021317,-0.006928025,-7.874684811,1.633267999,4.04150486,29.79999924,99157,216.2501984,168.2825623,0,0,0,0
29249,29204.26172,1.276109457,-0.401028782,8.643068314,0.062352221,0.000799387,-0.006928025,-7.849686146,1.474941015,4.016506195,29.79999924,99157,216.0807648,169.3583069,0,0,0,0
29289,29241.79858,1.314416766,-0.339976639,8.602366447,0.071678407,-0.002398162,-0.0042634,-7.83302021,1.374945045,3.999840021,29.79999924,99157,215.7424622,170.0441895,0,0,0,0
29329,29282.71875,1.276109457,-0.33518824,8.671798706,0.058621746,0.0042634,-0.006661562,-7.83302021,1.541604996,4.099835873,29.79999924,99157,215.6577454,168.8659973,0,0,0,0
